2018-02-08 00:00:01 
2018-02-08 11:21:51 {"transaction_id":"UD180208112149000000000004088669","price":420}
2018-02-08 11:24:37 {"auth_code":"134770177606875540","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811243811","total_fee":"1260","sign":"4270B777610817059A509443620A5AC7"}
2018-02-08 11:24:39 {"transaction_id":"UD180208112437000000000004155174","price":1260}
2018-02-08 11:26:01 {"auth_code":"134797912731549169","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081126028008171100101937","total_fee":"1500","sign":"1E0505E189CCB328D9338E9D9FCBC859"}
2018-02-08 11:26:04 {"transaction_id":"UD180208112602000000000004180913","price":1500}
2018-02-08 11:30:06 {"auth_code":"135049121503852728","bill_create_ip":"192.168.1.190","device_no":"1112","goods_desc":"\u7800\u5c71\u82b1\u56ed\u6e29\u6cc9\u9152\u5e97\u5ba2\u623f","nonce_str":"123456","pp_trade_no":"201802081130071112","total_fee":"300000","sign":"8674AED226525C159800E6DC5E9C3CC2"}
2018-02-08 11:30:40 
2018-02-08 11:31:12 {"auth_code":"134677872559915504","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811311311","total_fee":"750","sign":"5C31803ED91D92B2A60AA4DC0081EBF2"}
2018-02-08 11:31:14 
2018-02-08 11:31:34 {"auth_code":"287730065688207156","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811313511","total_fee":"750","sign":"69AB131D43C353ED7FC77F78480EA66D"}
2018-02-08 11:31:36 {"transaction_id":"91518060695264160693","price":750}
2018-02-08 11:32:15 {"auth_code":"134927957199328348","bill_create_ip":"192.168.1.190","device_no":"1112","goods_desc":"\u7800\u5c71\u82b1\u56ed\u6e29\u6cc9\u9152\u5e97\u5ba2\u623f","nonce_str":"123456","pp_trade_no":"201802081132151112","total_fee":"300000","sign":"79174786409580D07E846402BC970E77"}
2018-02-08 11:32:28 {"transaction_id":"4","price":300000}
2018-02-08 11:33:31 {"auth_code":"134831126157338867","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811333311","total_fee":"780","sign":"0053FB73BDDF0EACF60F86240B259D22"}
2018-02-08 11:33:35 {"transaction_id":"UD180208113333000000000004372275","price":780}
2018-02-08 11:34:26 {"auth_code":"134554028543148255","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811342711","total_fee":"970","sign":"A0C95D97AE3FEE3AF5AEB02C81BF4881"}
2018-02-08 11:34:28 {"transaction_id":"UD180208113426000000000004395176","price":970}
2018-02-08 11:35:41 {"auth_code":"134954346629507326","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811354412","total_fee":"2520","sign":"8D32268CA8E4E5D4EA3A4D0799B5F747"}
2018-02-08 11:35:44 {"transaction_id":"UD180208113542000000000004419753","price":2520}
2018-02-08 11:36:13 {"auth_code":"134732191116150902","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811361411","total_fee":"1000","sign":"178E163941D4BA8CF5847A6991108E9E"}
2018-02-08 11:36:14 {"auth_code":"281996770328955265","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811361712","total_fee":"650","sign":"E7408DA436B044A1D26362063A3D313F"}
2018-02-08 11:36:15 {"transaction_id":"UD180208A01175300311361400435100","price":1000}
2018-02-08 11:36:16 {"transaction_id":"91518060975064796293","price":650}
2018-02-08 11:37:44 {"auth_code":"134521759904620342","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811374712","total_fee":"2110","sign":"28CFEFE6D188D00173F90A2AA7ACC5D3"}
2018-02-08 11:37:47 {"transaction_id":"UD180208113745000000000004473365","price":2110}
2018-02-08 11:39:04 {"auth_code":"288509605636066592","bill_create_ip":"192.168.1.101","device_no":"296","goods_desc":"\u5927\u836f\u623f","nonce_str":"123456","pp_trade_no":"20180208113906296","total_fee":"3200","sign":"764CA734756866125A36552755D34FA0"}
2018-02-08 11:39:07 {"transaction_id":"91518061145653641403","price":3200}
2018-02-08 11:39:23 {"auth_code":"134783279691691941","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811392411","total_fee":"840","sign":"32F89758C6FD6B87EA49B715F007AF5C"}
2018-02-08 11:39:25 {"transaction_id":"UD180208113923000000000004511587","price":840}
2018-02-08 11:40:00 {"auth_code":"134736001620067366","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811400312","total_fee":"1260","sign":"87A548C9F21F1CEB2BB08E315F44BCE9"}
2018-02-08 11:40:04 {"transaction_id":"UD180208114001000000000004527492","price":1260}
2018-02-08 11:41:31 {"auth_code":"134735154686423181","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811413412","total_fee":"1090","sign":"E026088684B69F7FD8521A965D1F14CA"}
2018-02-08 11:41:34 {"transaction_id":"UD180208114132000000000004566230","price":1090}
2018-02-08 11:42:59 {"auth_code":"134789091588546833","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811430111","total_fee":"1660","sign":"384D42EC5331B92F509C7F8B72376BE8"}
2018-02-08 11:43:03 {"transaction_id":"UD180208114300000000000004602146","price":1660}
2018-02-08 11:43:05 {"auth_code":"134699512993619255","bill_create_ip":"192.168.1.3","device_no":"1282","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u4e03\u5f69\u4e16\u754c\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081143061282","total_fee":"4100","sign":"DFB416C76F5EB9C89C9013ED23FBF988"}
2018-02-08 11:43:07 {"transaction_id":"UD180208114306000000000004601399","price":4100}
2018-02-08 11:43:11 {"auth_code":"134657746598335469","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811431312","total_fee":"1590","sign":"188688EDC794CB02C4C38970E8D139B6"}
2018-02-08 11:43:13 {"transaction_id":"UD180208114312000000000004599786","price":1590}
2018-02-08 11:44:11 {"auth_code":"135373109703154112","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811441412","total_fee":"3160","sign":"A9BDA7B99E04B116908E1D84F9B5F6DC"}
2018-02-08 11:44:13 {"auth_code":"134891666997375812","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081144158008171100101937","total_fee":"6900","sign":"D435347FDD2FD45E1C994133501C58DD"}
2018-02-08 11:44:15 {"transaction_id":"UD180208114412000000000004620985","price":3160}
2018-02-08 11:44:16 {"transaction_id":"UD180208114414000000000004632011","price":6900}
2018-02-08 11:44:29 {"auth_code":"134832420035672792","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081144318008171100101937","total_fee":"2400","sign":"991073A04316696BC15BA3EDBCA62E87"}
2018-02-08 11:44:32 {"transaction_id":"UD180208114430000000000004634484","price":2400}
2018-02-08 11:47:34 {"auth_code":"134660127261057790","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811473712","total_fee":"450","sign":"027B81E88FF9484B7E034ED69FC915AD"}
2018-02-08 11:47:37 {"transaction_id":"UD180208114735000000000004710360","price":450}
2018-02-08 11:47:45 {"auth_code":"134783084018214925","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811474711","total_fee":"1060","sign":"C0B0D211EB9A0E696F0A2B6A7B6F6C5B"}
2018-02-08 11:47:48 {"transaction_id":"UD180208114746000000000004719247","price":1060}
2018-02-08 11:48:22 {"auth_code":"134586520569020975","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811482512","total_fee":"700","sign":"2D0F8AC7144C887E85885FF33827135B"}
2018-02-08 11:48:25 {"transaction_id":"UD180208114823000000000004727905","price":700}
2018-02-08 11:48:28 {"auth_code":"285330001473126351","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811482911","total_fee":"1950","sign":"8F368807FE9B4F5A72CE395FA62B5D91"}
2018-02-08 11:48:30 {"transaction_id":"91518061708965370330","price":1950}
2018-02-08 11:48:47 {"auth_code":"134906792269509156","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811485012","total_fee":"1590","sign":"DEC1BCCE72AA4D4326B13CCCF05EED08"}
2018-02-08 11:48:51 {"transaction_id":"UD180208114848000000000004742422","price":1590}
2018-02-08 11:50:08 {"auth_code":"134856830693252621","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811501012","total_fee":"1160","sign":"7267B51AB59BC6BE4FB923CEB69E1FCC"}
2018-02-08 11:50:10 {"transaction_id":"UD180208115008000000000004773480","price":1160}
2018-02-08 11:50:38 {"auth_code":"134879355181345197","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811504011","total_fee":"1250","sign":"E9A219A5C082B6EEC028C915EAA96934"}
2018-02-08 11:50:41 {"transaction_id":"UD180208115039000000000004784693","price":1250}
2018-02-08 11:52:50 {"auth_code":"134523397913924760","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811525312","total_fee":"600","sign":"0AE7A98813D72E2FCB2637D90FE7845C"}
2018-02-08 11:52:52 {"transaction_id":"UD180208115250000000000004839299","price":600}
2018-02-08 11:53:29 {"auth_code":"287971168285650126","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811533112","total_fee":"280","sign":"F9B90866BD5B89A993C974526776E9AD"}
2018-02-08 11:53:32 {"transaction_id":"91518062009772047564","price":280}
2018-02-08 11:55:46 {"auth_code":"284611181704263120","bill_create_ip":"192.168.1.125","device_no":"8008171099228744","goods_desc":"\u7800\u5c71\u82b1\u56ed\u6e29\u6cc9\u9152\u5e97\u6d17\u6d74\u90e8","nonce_str":"123456","pp_trade_no":"201802081155528008171099228744","total_fee":"500","sign":"F17CF3562015C9048161B902865E4AD5"}
2018-02-08 11:55:48 {"transaction_id":"91518062147180399897","price":500}
2018-02-08 11:56:31 {"auth_code":"134684249504905068","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020811563412","total_fee":"1610","sign":"8FDEDD04407323B3BE3334643210F6DC"}
2018-02-08 11:56:34 {"transaction_id":"UD180208115632000000000004926051","price":1610}
2018-02-08 11:57:02 {"auth_code":"284092596237542377","bill_create_ip":"192.168.1.125","device_no":"8008171099228744","goods_desc":"\u7800\u5c71\u82b1\u56ed\u6e29\u6cc9\u9152\u5e97\u6d17\u6d74\u90e8","nonce_str":"123456","pp_trade_no":"201802081157078008171099228744","total_fee":"44300","sign":"E65E6C45937EC124E365D970F6443669"}
2018-02-08 11:57:04 {"transaction_id":"91518062222812608256","price":44300}
2018-02-08 11:59:24 {"auth_code":"285841553202510906","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081159258008171100101937","total_fee":"50000","sign":"9866DBA0662FC7D8C8694E45AC9471C9"}
2018-02-08 11:59:26 {"transaction_id":"91518062364956299011","price":50000}
2018-02-08 12:00:18 {"auth_code":"287345415335510605","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812002112","total_fee":"660","sign":"46251899C23C0AEC721150A776B9548E"}
2018-02-08 12:00:20 {"transaction_id":"91518062418965762776","price":660}
2018-02-08 12:01:41 {"auth_code":"134559244577978254","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812014412","total_fee":"910","sign":"71AC90E79A0CEBBFF11B3129B43CD856"}
2018-02-08 12:01:44 {"transaction_id":"UD180208120142000000000005050191","price":910}
2018-02-08 12:02:16 {"auth_code":"281094929886098684","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081202188008171100101937","total_fee":"30800","sign":"04CE2F0109F226793CFC5C7492F0A9F4"}
2018-02-08 12:02:19 {"transaction_id":"91518062537893139672","price":30800}
2018-02-08 12:02:49 {"auth_code":"285264487110604236","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812025212","total_fee":"890","sign":"06D9E1FFE2C35A405C82D9D85339B343"}
2018-02-08 12:02:51 {"transaction_id":"91518062570400340718","price":890}
2018-02-08 12:02:52 {"auth_code":"134850748625209746","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081202538008171100101937","total_fee":"3200","sign":"98712BB8FDB7A078266571652652AB8A"}
2018-02-08 12:02:54 {"transaction_id":"UD180208120252000000000005076226","price":3200}
2018-02-08 12:04:10 {"auth_code":"135044253952564628","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812041312","total_fee":"410","sign":"89ED2E92C07AC224DA4B1E9B75906342"}
2018-02-08 12:04:13 {"transaction_id":"UD180208120411000000000005107778","price":410}
2018-02-08 12:04:49 {"auth_code":"134822790908388170","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081204518008171100101937","total_fee":"2000","sign":"F681A07939B25FC7DF12DB9491232501"}
2018-02-08 12:04:52 {"transaction_id":"UD180208120450000000000005121757","price":2000}
2018-02-08 12:05:29 {"auth_code":"134751253873519963","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081205318008171100101937","total_fee":"2000","sign":"4B6DD0D90125203028DDE2439604381A"}
2018-02-08 12:05:32 {"transaction_id":"UD180208120530000000000005137728","price":2000}
2018-02-08 12:06:41 {"auth_code":"135040402694884467","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812064312","total_fee":"260","sign":"4A2BD43E71ADD3BB6A75C4CC5C6CAA63"}
2018-02-08 12:06:43 {"transaction_id":"UD180208120641000000000005168624","price":260}
2018-02-08 12:07:08 {"auth_code":"289663951519044183","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812071112","total_fee":"150","sign":"7D580107E9A8EE0C840E45185E05D28D"}
2018-02-08 12:07:09 {"auth_code":"134662789994020802","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812071111","total_fee":"1120","sign":"C5AFACF66E99C849395BD2DF29B3BF43"}
2018-02-08 12:07:10 {"transaction_id":"91518062828840453382","price":150}
2018-02-08 12:07:12 {"transaction_id":"UD180208120710000000000005180311","price":1120}
2018-02-08 12:07:39 {"auth_code":"286596455946542327","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812074212","total_fee":"400","sign":"0B059913E18C6639EDDC4CA48B7CB0E5"}
2018-02-08 12:07:42 {"transaction_id":"91518062860244447901","price":400}
2018-02-08 12:09:23 {"auth_code":"134884587385905264","bill_create_ip":"192.168.1.125","device_no":"8008171099228744","goods_desc":"\u7800\u5c71\u82b1\u56ed\u6e29\u6cc9\u9152\u5e97\u6d17\u6d74\u90e8","nonce_str":"123456","pp_trade_no":"201802081209298008171099228744","total_fee":"2500","sign":"71657FB10E2E153BE9FA92353B931C19"}
2018-02-08 12:09:26 {"transaction_id":"UD180208120924000000000005233208","price":2500}
2018-02-08 12:12:13 {"auth_code":"289211730844805171","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812121612","total_fee":"350","sign":"65B05748C55DD12CE85A7680FBED3139"}
2018-02-08 12:12:16 {"transaction_id":"91518063134225534571","price":350}
2018-02-08 12:12:32 {"auth_code":"134583767716638559","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812123311","total_fee":"260","sign":"D9DD6B02A0EBD396862E3A1B7F5EF53E"}
2018-02-08 12:12:34 {"transaction_id":"UD180208121232000000000005304258","price":260}
2018-02-08 12:13:54 {"auth_code":"134550734868497467","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812135511","total_fee":"550","sign":"7524DB43DB8CCF8784FF75F37916AB08"}
2018-02-08 12:13:56 {"transaction_id":"UD180208121354000000000005331780","price":550}
2018-02-08 12:14:27 {"auth_code":"134526077251096438","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812143012","total_fee":"1140","sign":"A8C3AA971598037011ED57B4AE352F3D"}
2018-02-08 12:14:29 {"transaction_id":"UD180208121427000000000005345960","price":1140}
2018-02-08 12:15:30 {"auth_code":"134637031445614472","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812153312","total_fee":"1950","sign":"9E324F5A98A65668156534117CD11E9E"}
2018-02-08 12:15:32 {"transaction_id":"UD180208121531000000000005374165","price":1950}
2018-02-08 12:15:39 {"auth_code":"135218540825593071","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812154011","total_fee":"1460","sign":"9EB68C798006586AAA840E227E7B81C9"}
2018-02-08 12:15:41 {"transaction_id":"UD180208121539000000000005379024","price":1460}
2018-02-08 12:15:52 {"auth_code":"282146169850095610","bill_create_ip":"192.168.1.8","device_no":"12","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812155512","total_fee":"360","sign":"39C49E59ED0F283CD34C06029C3A9A77"}
2018-02-08 12:15:54 {"transaction_id":"91518063353522635794","price":360}
2018-02-08 12:19:42 {"auth_code":"134887018339510822","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812194311","total_fee":"630","sign":"9600582A64032573B841AA33015AD08F"}
2018-02-08 12:19:45 {"transaction_id":"UD180208121942000000000005469485","price":630}
2018-02-08 12:20:39 {"auth_code":"135302925619453820","bill_create_ip":"192.168.1.101","device_no":"296","goods_desc":"\u5927\u836f\u623f","nonce_str":"123456","pp_trade_no":"20180208122041296","total_fee":"3800","sign":"FFFFA6B08A0F253007937E5A10707D4B"}
2018-02-08 12:20:43 {"transaction_id":"UD180208A01175300312204000557716","price":3800}
2018-02-08 12:21:34 {"auth_code":"134511064446609147","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812213511","total_fee":"1060","sign":"F71321AD98971525613D0F8CB2FFC8A7"}
2018-02-08 12:21:36 {"transaction_id":"UD180208A01175300312213400560242","price":1060}
2018-02-08 12:23:14 {"auth_code":"134713883488622315","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812231511","total_fee":"1350","sign":"5FAB6BBF95F23490DC8C7C09838259ED"}
2018-02-08 12:23:16 {"transaction_id":"UD180208122314000000000005548737","price":1350}
2018-02-08 12:24:19 {"auth_code":"134621701871059444","bill_create_ip":"192.168.0.100","device_no":"1000","goods_desc":"\u4f2f\u745e\u8c6a\u5ef7\u5047\u65e5\u9152\u5e97","nonce_str":"123456","pp_trade_no":"201802081220481000","total_fee":"2200","sign":"CB241A7095919374D304A12598D72487"}
2018-02-08 12:24:21 {"transaction_id":"4200000056201802089260243664","price":2200}
2018-02-08 12:25:23 {"auth_code":"134724960751218718","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081225248008171100101937","total_fee":"2000","sign":"606DE63A7FA90567908E6B67D0BBD6CA"}
2018-02-08 12:25:25 {"transaction_id":"UD180208122524000000000005596496","price":2000}
2018-02-08 12:26:53 {"auth_code":"134997723593358032","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812265411","total_fee":"2170","sign":"88C25D06E79B0AB858B5484EC642AC9D"}
2018-02-08 12:26:55 {"transaction_id":"UD180208122653000000000005637086","price":2170}
2018-02-08 12:27:25 {"auth_code":"280960076930105872","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812272611","total_fee":"1230","sign":"9BC5C975DEB616EC127C13383BE86B20"}
2018-02-08 12:27:27 {"transaction_id":"91518064045792103790","price":1230}
2018-02-08 12:27:46 {"auth_code":"289036699554198090","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081227488008171100101937","total_fee":"4500","sign":"2BFDD40C6826B1159F76D2A21F5FA889"}
2018-02-08 12:27:49 {"transaction_id":"91518064067239088190","price":4500}
2018-02-08 12:31:09 {"auth_code":"134980266377290118","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812311111","total_fee":"1470","sign":"2A450442906134DB24CEC4ED0AF0A49C"}
2018-02-08 12:31:12 {"transaction_id":"UD180208123110000000000005725170","price":1470}
2018-02-08 12:32:38 {"auth_code":"134663533821470095","bill_create_ip":"192.168.1.101","device_no":"8008171100101937","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u8292\u7800\u5357\u8def\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081232408008171100101937","total_fee":"5000","sign":"6C7D981375C58094170E6066DA91635D"}
2018-02-08 12:32:41 {"transaction_id":"UD180208123239000000000005758112","price":5000}
2018-02-08 12:33:01 {"auth_code":"134815237126466564","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812330211","total_fee":"800","sign":"5EBBF27C67B507986B45694686DCB902"}
2018-02-08 12:33:03 {"transaction_id":"UD180208123301000000000005762600","price":800}
2018-02-08 12:33:55 {"auth_code":"135008729158206345","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812335711","total_fee":"300","sign":"A8E886000E3E76C733B3B637E5DAFC23"}
2018-02-08 12:33:58 {"transaction_id":"UD180208123356000000000005780901","price":300}
2018-02-08 12:35:35 {"auth_code":"134538578785703564","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812353611","total_fee":"2960","sign":"47C2D6F6D244266CBEA9676CF1EA0285"}
2018-02-08 12:35:37 {"transaction_id":"UD180208123536000000000005816677","price":2960}
2018-02-08 12:38:41 {"auth_code":"282418805845037650","bill_create_ip":"192.168.1.3","device_no":"1282","goods_desc":"\u91d1\u6ee1\u86cb\u7cd5\uff08\u4e03\u5f69\u4e16\u754c\u5e97\uff09","nonce_str":"123456","pp_trade_no":"201802081238431282","total_fee":"2200","sign":"FE5F48A776920313C4C5229A49176A1E"}
2018-02-08 12:38:44 {"transaction_id":"91518064722836837195","price":2200}
2018-02-08 12:38:45 {"auth_code":"134683333604975437","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812384611","total_fee":"350","sign":"9538AD16880D30A6E8D5175DF4E6293F"}
2018-02-08 12:38:47 {"transaction_id":"UD180208123846000000000005894367","price":350}
2018-02-08 12:42:29 {"auth_code":"288013666956326421","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812423111","total_fee":"300","sign":"42728F4337DFA79AA105215876F4324F"}
2018-02-08 12:42:31 {"transaction_id":"91518064950164191807","price":300}
2018-02-08 12:44:51 {"auth_code":"287003654256907469","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812445311","total_fee":"1300","sign":"B1DA7EC779F8E3BB85CD25597BAF13D8"}
2018-02-08 12:44:54 {"transaction_id":"91518065092681623734","price":1300}
2018-02-08 12:53:17 {"auth_code":"135183699773061135","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812531811","total_fee":"680","sign":"56ED6DFDE718FC4488E92615293D574B"}
2018-02-08 12:53:20 {"transaction_id":"UD180208125317000000000006215085","price":680}
2018-02-08 12:56:30 {"auth_code":"286363843504437266","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020812563211","total_fee":"690","sign":"5FF5A1B29872C3A3D3D1FDACE4793397"}
2018-02-08 12:56:33 {"transaction_id":"91518065791384960686","price":690}
2018-02-08 12:57:42 {"auth_code":"134973415009333216","bill_create_ip":"192.168.1.125","device_no":"8008171099228744","goods_desc":"\u7800\u5c71\u82b1\u56ed\u6e29\u6cc9\u9152\u5e97\u6d17\u6d74\u90e8","nonce_str":"123456","pp_trade_no":"201802081257488008171099228744","total_fee":"5000","sign":"5ADDBC2628DF181BAFEFDB886068EACE"}
2018-02-08 12:57:44 {"transaction_id":"UD180208125743000000000006304803","price":5000}
2018-02-08 13:01:26 {"auth_code":"134865639282780154","bill_create_ip":"192.168.1.6","device_no":"11","goods_desc":"goods","nonce_str":"123456","pp_trade_no":"2018020813012811","total_fee":"2240","sign":"EFF211E9AAAD926776D8FDC497CE8543"}
2018-02-08 13:01:30 {"transaction_id":"UD180208130127000000000006387712","price":2240}
2018-02-08 13:03:33 {"auth_code":"135245751788692702","bill_create_ip":"192.168.0.100","device_no":"1000","goods_desc":"\u4f2f\u745e\u8c6a\u5ef7\u5047\u65e5\u9152\u5e97","nonce_str":"123456","pp_trade_no":"201802081300021000","total_fee":"16500","sign":"4D371C9E78BFB682489E15C33A82AFC2"}
2018-02-08 13:03:35 {"transaction_id":"4200000069201802089291827477","price":16500}
